d_company,fecha,Price,id_country,id_sector,Revenue:Q
190,2022-06-16,304.02,11,8,18.89417729
81,2022-06-16,87.4,26,8,-13.81457849
24,2022-06-16,84.89,11,8,13.74311666
16,2022-06-16,160.87,11,3,6.26148957
254,2022-06-16,61.29,11,2,9.720260956
426,2022-06-16,1118.52,11,8,-57.06687237
877,2022-06-16,27.39,11,10,68.09948
332,2022-06-16,57.13,11,4,-17.25569182
160,2022-06-16,55.01,11,4,-32.73565856
2,2022-06-16,244.97,11,4,-31.89272564
636,2022-06-16,161.63,11,9,-40.01967831
232,2022-06-16,121.08,11,8,-51.96476618
1663,2022-06-16,116.67,11,10,48.49658942
535,2022-06-16,254.73,11,8,-11.80840172
1108,2022-06-16,50.46,11,7,-11.51024381
118,2022-06-16,58.61,11,7,-31.73895157
725,2022-06-16,387.12,11,4,-13.45011836
331,2022-06-16,87.89,11,7,-12.26840738
278,2022-06-16,253.64,11,2,-1.547271454
88,2022-06-16,73.95,11,2,-28.56786812
588,2022-06-16,50.94,11,1,-10.43863732
276,2022-06-16,197,11,4,-33.31069281
357,2022-06-16,385.76,11,2,-32.85858879
558,2022-06-16,148.55,11,2,13.76624838
718,2022-06-16,63.29,11,4,-27.35895541
67,2022-06-16,173.35,11,3,-35.63834907
1530,2022-06-16,17.86,11,10,-27.46685618
335,2022-06-16,64.71,11,1,-4.071167043
3214,2022-06-16,15.65,11,3,-22.31820101
1395,2022-06-16,15.42,11,3,-33.84967472
55,2022-06-16,70.87,11,11,-18.36219155
82,2022-06-16,107.12,11,10,40.32646337
986,2022-06-16,27.17,11,11,-25.14113307
915,2022-06-16,196.46,11,5,-9.802649376
204,2022-06-16,222.79,11,5,-26.53216821
675,2022-06-16,91.46,11,2,-70.67133509
132,2022-06-16,449.02,11,5,-24.17493069
1441,2022-06-16,10.38,11,10,-16.99090827
982,2022-06-16,36.86,11,11,-5.782677913
306,2022-06-16,112.57,11,1,-18.7327149
15,2022-06-16,156.01,11,4,11.3752192
822,2022-06-16,3670,11,10,-27.24204849
288,2022-06-16,158.32,23,4,2.586094216
199,2022-06-16,56.81,11,6,-36.28859466
422,2022-06-16,234.95,11,5,-22.56743493
731,2022-06-16,62.03,11,3,-46.32885195
409,2022-06-16,67.09,11,4,2192600064
453,2022-06-16,55.73,11,6,19.45426964
84,2022-06-16,68.71,11,4,-5.782677913
207,2022-06-16,585,11,10,-0.40158585
1465,2022-06-16,32.81,11,8,-22.12464363
402,2022-06-16,67.95,11,5,-45.02088119
389,2022-06-16,81.57,11,5,-13.35310662
932,2022-06-16,141.45,11,1,-22.53101481
