Ticker,Name
NOKIA FH Equity,Nokia Oyj
FERG LN Equity,Ferguson PLC
7751 JT Equity,Canon Inc
LT IS Equity,Larsen & Toubro Ltd
SABIC AB Equity,Saudi Basic Industries Corp
HIG UN Equity,Hartford Financial Services Group Inc/The
WY UN Equity,Weyerhaeuser Co
AMS SQ Equity,Amadeus IT Group SA
IMB LN Equity,Imperial Brands PLC
600036 C1 Equity,China Merchants Bank Co Ltd
CDW UW Equity,CDW Corp/DE
FTV UN Equity,Fortive Corp
CBRE UN Equity,CBRE Group Inc
EXR UN Equity,Extra Space Storage Inc
NA CT Equity,National Bank of Canada
STM FP Equity,STMicroelectronics NV
VEEV UN Equity,Veeva Systems Inc
NESTE FH Equity,Neste Oyj
SREN SE Equity,Swiss Re AG
ENGI FP Equity,Engie SA
RIO AT Equity,Rio Tinto Ltd
CF UN Equity,CF Industries Holdings Inc
UCG IM Equity,UniCredit SpA
EBAY UW Equity,eBay Inc
AHT LN Equity,Ashtead Group PLC
000858 C2 Equity,Wuliangye Yibin Co Ltd
SANB11 BS Equity,Banco Santander Brasil SA
BAF IS Equity,Bajaj Finance Ltd
MOH UN Equity,Molina Healthcare Inc
ARE UN Equity,Alexandria Real Estate Equities Inc
BHARTI IS Equity,Bharti Airtel Ltd
FLTR ID Equity,Flutter Entertainment PLC
SBIN IS Equity,State Bank of India
4543 JT Equity,Terumo Corp
HBAN UW Equity,Huntington Bancshares Inc/OH
EIX UN Equity,Edison International
9999 HK Equity,NetEase Inc
DSM NA Equity,Koninklijke DSM NV
MRK GY Equity,Merck KGaA
006400 KP Equity,Samsung SDI Co Ltd
LYB UN Equity,LyondellBasell Industries NV
DDOG UW Equity,Datadog Inc
MRO UN Equity,Marathon Oil Corp
ETR UN Equity,Entergy Corp
6702 JT Equity,Fujitsu Ltd
6902 JT Equity,Denso Corp
BIDU UW Equity,Baidu Inc
HEIA NA Equity,Heineken NV
BBRI IJ Equity,Bank Rakyat Indonesia Persero Tbk PT
FRC UN Equity,First Republic Bank/CA
L CT Equity,Loblaw Cos Ltd
NDAQ UW Equity,Nasdaq Inc
PFG UW Equity,Principal Financial Group Inc
VMC UN Equity,Vulcan Materials Co
ARGX UW Equity,Argenx SE
INVH UN Equity,Invitation Homes Inc
LH UN Equity,Laboratory Corp of America Holdings
URI UN Equity,United Rentals Inc
CAH UN Equity,Cardinal Health Inc
FE UN Equity,FirstEnergy Corp
AEE UN Equity,Ameren Corp
5108 JT Equity,Bridgestone Corp
RJF UN Equity,Raymond James Financial Inc
GMEXICOB MF Equity,Grupo Mexico SAB de CV
TTWO UW Equity,Take-Two Interactive Software Inc
ALINMA AB Equity,Alinma Bank
BF/B UN Equity,Brown-Forman Corp
MLM UN Equity,Martin Marietta Materials Inc
BBDC4 BS Equity,Banco Bradesco SA
PWR UN Equity,Quanta Services Inc
ULTA UW Equity,Ulta Beauty Inc
HEXAB SS Equity,Hexagon AB
CFG UN Equity,Citizens Financial Group Inc
WALMEX* MF Equity,Wal-Mart de Mexico SAB de CV
AEM CT Equity,Agnico Eagle Mines Ltd
9022 JT Equity,Central Japan Railway Co
LR FP Equity,Legrand SA
IR UN Equity,Ingersoll Rand Inc
RF UN Equity,Regions Financial Corp
EFX UN Equity,Equifax Inc
600900 C1 Equity,China Yangtze Power Co Ltd
MOS UN Equity,Mosaic Co/The
ASSAB SS Equity,Assa Abloy AB
FMG AT Equity,Fortescue Metals Group Ltd
SAMPO FH Equity,Sampo Oyj
STC AB Equity,Saudi Telecom Co
STAN LN Equity,Standard Chartered PLC
GLE FP Equity,Societe Generale SA
ORA FP Equity,Orange SA
K UN Equity,Kellogg Co
TSN UN Equity,Tyson Foods Inc
PGHN SE Equity,Partners Group Holding AG
LPLA UW Equity,LPL Financial Holdings Inc
VWS DC Equity,Vestas Wind Systems A/S
ANSS UW Equity,ANSYS Inc
GMG AT Equity,Goodman Group
LEN UN Equity,Lennar Corp
MKC UN Equity,McCormick & Co Inc/MD
RIVN UW Equity,Rivian Automotive Inc
PPL UN Equity,PPL Corp
6503 JT Equity,Mitsubishi Electric Corp
UPM FH Equity,UPM-Kymmene Oyj
EPAM UN Equity,EPAM Systems Inc
TECK/B CT Equity,Teck Resources Ltd
SSE LN Equity,SSE PLC
DOV UN Equity,Dover Corp
DTE UN Equity,DTE Energy Co
9020 JT Equity,East Japan Railway Co
CHD UN Equity,Church & Dwight Co Inc
2269 HK Equity,Wuxi Biologics Cayman Inc
002594 C2 Equity,BYD Co Ltd
FTS CT Equity,Fortis Inc/Canada
TSCO LN Equity,Tesco PLC
2914 JT Equity,Japan Tobacco Inc
PPL CT Equity,Pembina Pipeline Corp
HPE UN Equity,Hewlett Packard Enterprise Co
MAADEN AB Equity,Saudi Arabian Mining Co
ACGL UW Equity,Arch Capital Group Ltd
ML FP Equity,Cie Generale des Etablissements Michelin SCA
ZM UW Equity,Zoom Video Communications Inc
VRSN UW Equity,VeriSign Inc
WST UN Equity,West Pharmaceutical Services Inc
SGEN UW Equity,Seagen Inc
4452 JT Equity,Kao Corp
WAT UN Equity,Waters Corp
TOU CT Equity,Tourmaline Oil Corp
4901 JT Equity,FUJIFILM Holdings Corp
EOAN GY Equity,E.ON SE
XYL UN Equity,Xylem Inc/NY
MAA UN Equity,Mid-America Apartment Communities Inc
SGO FP Equity,Cie de Saint-Gobain
QSR CT Equity,Restaurant Brands International Inc
STLD UW Equity,Steel Dynamics Inc
CNP UN Equity,CenterPoint Energy Inc
AMCR UN Equity,Amcor PLC
6301 JT Equity,Komatsu Ltd
STE UN Equity,STERIS PLC
REP SQ Equity,Repsol SA
APO UN Equity,Apollo Global Management Inc
CLX UN Equity,Clorox Co/The
2412 TT Equity,Chunghwa Telecom Co Ltd
ADS GY Equity,adidas AG
CAG UN Equity,Conagra Brands Inc
051910 KP Equity,LG Chem Ltd
DOL CT Equity,Dollarama Inc
KEY UN Equity,KeyCorp
PKI UN Equity,PerkinElmer Inc
8591 JT Equity,ORIX Corp
BMRN UW Equity,BioMarin Pharmaceutical Inc
TRI CT Equity,Thomson Reuters Corp
DRI UN Equity,Darden Restaurants Inc
DBK GY Equity,Deutsche Bank AG
TEF SQ Equity,Telefonica SA
GIB/A CT Equity,CGI Inc
TDY UN Equity,Teledyne Technologies Inc
BR UN Equity,Broadridge Financial Solutions Inc
PAYC UN Equity,Paycom Software Inc
SAND SS Equity,Sandvik AB
G IM Equity,Assicurazioni Generali SpA
8801 JT Equity,Mitsui Fudosan Co Ltd
HLN LN Equity,Haleon PLC
CLNX SQ Equity,Cellnex Telecom SA
