id_ticker,fecha,Weight,Shares,Price,id_sector,id_country,Revenue:Q,Total Return:M-6
7532,2022-06-16,0.000964,411.84864,10.03,8,13,1378647552,-31.72226173
4517,2022-06-16,0.002612,72.7034,154,4,21,477886400,17.37805151
3724,2022-06-16,0.002849,966.4186,12.64,7,46,6383261696,-32.40641803
5253,2022-06-16,0.001468,550.68636,11.43,4,21,18573524992,-8.045052095
7345,2022-06-16,0.000703,540.7836,5.86,4,21,2759887872,56.08985564
6982,2022-06-16,0.00115,246.172,20.02,2,11,2342503936,6.223277189
6664,2022-06-16,0.000913,461.72644,8.48,10,22,6986244096,-36.38409909
4642,2022-06-16,0.001654,280.694,25.26,5,11,1821064320,-28.4895582
7157,2022-06-16,0.000876,704.553,5.33,7,11,1467906304,-7.228915963
2445,2022-06-16,0.005854,650.811,38.56,7,12,3505985024,-28.12466692
4012,2022-06-16,0.003141,838.474,16.06,7,18,5847968768,-37.69836296
3826,2022-06-16,0.003365,242.298,59.53,6,14,1686909184,-0.281944119
10097,2022-06-16,0.000249,8.938,22900,8,41,5.16E+11,14.25311731
2358,2022-06-16,0.008334,956.57,37.35,3,12,20111796224,-34.53334737
7287,2022-06-16,0.000868,214.765,17.33,7,13,2328527616,-17.28121276
4374,2022-06-16,0.001573,871.20432,7.74,5,37,6182743040,82.97871717
5984,2022-06-16,0.001641,290.03016,24.25,10,11,1839954816,-16.92317122
6947,2022-06-16,0.000907,662.3484,5.87,2,22,2683325184,-28.84848624
6376,2022-06-16,0.000985,258.50888,16.34,1,18,1693054848,-15.90324294
4086,2022-06-16,0.002598,1887.42064,5.9,8,18,1685498368,-8.527127599
6740,2022-06-16,0.001167,207.17984,24.15,4,12,2612935680,7.369893804
5575,2022-06-16,0.000888,282.125,13.49,4,21,992593216,-7.451999356
5480,2022-06-16,0.001627,1503.543,4.64,5,22,3800952320,-32.58841342
4896,2022-06-16,0.002167,236.9626,39.2,1,33,630763456,-24.60088575
6317,2022-06-16,0.001032,389.37696,11.36,2,44,946459520,-33.35531544
4214,2022-06-16,0.001992,312.14876,27.36,5,12,935240832,0.768125382
4820,2022-06-16,0.001541,348.312,18.97,5,12,3379108096,-11.62868124
1206,2022-06-16,0.016508,421.95664,167.72,10,11,13026004992,-7.167762816
10127,2022-06-16,0.00018,4.153,35600,4,11,2.51E+11,-26.91226954
2072,2022-06-16,0.006287,465.12508,57.95,8,11,19953219584,-14.94201806
5455,2022-06-16,0.001519,493.69488,13.19,4,11,2329408512,-4.902669869
6196,2022-06-16,0.001013,273.608,15.87,10,13,1319008128,7.500811865
10368,2022-06-16,0.00022,6.387,28300,8,16,7.06E+11,-6.907894737
6115,2022-06-16,0.000935,283.937,14.11,2,21,1297816320,5.495249315
5534,2022-06-16,0.001779,245.438,31.07,7,22,1737300992,-44.23997036
5666,2022-06-16,0.00078,129.239,25.87,5,12,993271744,-37.36095677
4061,2022-06-16,0.002562,1339.38616,8.2,1,14,6966829056,-23.93320996
9797,2022-06-16,0.000181,24.844,5980,6,15,5.33E+11,-12.64557923
1049,2022-06-16,0.016639,1370.657,52.04,8,22,62984183808,-17.59237591
4297,2022-06-16,0.002599,268.199,41.55,2,27,1825021568,2.709513269
1604,2022-06-16,0.008984,147.22876,261.6,10,13,2135734912,-29.20162216
4744,2022-06-16,0.002203,445.792,21.19,10,22,1005611904,4.041687988
6728,2022-06-16,0.000948,442.645,9.18,2,13,1312321408,-38.38925812
6435,2022-06-16,0.001361,3.666,305500,11,18,1.64E+12,-0.987632164
3693,2022-06-16,0.00226,478.76276,20.24,4,22,7312341504,-24.70237945
3958,2022-06-16,0.002202,1159.55896,8.14,5,13,6459940864,-16.93877362
10470,2022-06-16,0.000173,7.813,18200,11,18,1.27E+11,-20.1754386
6895,2022-06-16,0.001039,250.464,17.78,10,12,1910323712,10.50342149
6771,2022-06-16,0.001074,255.92476,17.99,5,46,1240464896,-34.48591018
4704,2022-06-16,0.002123,664.873,13.69,5,12,621848000,-10.01314228
4741,2022-06-16,0.002015,214.50464,40.27,10,25,2654055168,-11.09875686
5704,2022-06-16,0.001521,795.94144,8.19,1,52,7927436288,-23.81395739
4814,2022-06-16,0.001698,133.26,54.63,1,13,965112192,-33.43584882
3879,2022-06-16,0.00259,919.851,12.07,8,22,741521472,-30.83276479
4128,2022-06-16,0.001753,399.118,18.83,4,21,4482032640,4.879678335
